Account Name,Hero Ad,Version,Creator Name,Min Date,Max Date,Spend,Impressions,Installs,Post Engagement,Video Views,Purchases,CTR (%),CPC ($),CPI ($),Installs Per Mile,CPA ($),Purchase Per Mile,3sec Video View Rate (%),25% Video View Rate (%),50% Video View Rate (%),75% Video View Rate (%),100% Video View Rate (%),Install Rate (%),Subs Rate (%),revenue,ROAS
Photoleap Android,TattooWithoutTheCommitment,Hand,manuel,3/1/2023,6/24/2024,"$13,128.47","2,544,262","12,375","517,430","492,878",884,0.84%,$0.62,$1.1,486.39%,$14.85,34.74%,19.40%,14.70%,7.90%,3.30%,1.30%,58.10%,7.10%,$183.87,1.40%
Photoleap Android,TattooWithoutTheCommitment,Backofawoman,manuel,3/1/2023,6/24/2024,$28.03,"32,313",35,"7,584","6,936",,1.98%,$0.04,$0.8,108.32%,,,21.50%,12.00%,10.00%,7.00%,5.10%,5.50%,,,
Photoleap Android,Animateme,minasaan,manuel,3/1/2023,6/24/2024,"$8,993.40","1,354,726","4,590","457,444","447,847",431,0.65%,$1.03,$2.0,338.81%,$20.87,31.81%,33.10%,29.10%,18.40%,13.10%,9.20%,52.40%,9.40%,$107.68,1.20%
Photoleap Android,OnePiece,Manu,manuel,3/1/2023,6/24/2024,"$2,200.12","251,481",713,"74,241","72,603",68,0.60%,$1.46,$3.1,283.52%,$32.35,27.04%,28.90%,23.60%,10.30%,4.90%,3.40%,47.20%,9.50%,$9.70,0.44%
Photoleap Android,FaceSwitch,meme,manuel,3/1/2023,6/24/2024,$999.81,"33,776",196,"21,049","20,603",50,1.31%,$2.26,$5.1,580.29%,$20.00,148.03%,61.00%,39.30%,36.20%,29.30%,27.00%,44.30%,25.50%,$5.40,0.54%
Photoleap Android,text2img,ManuCost,manuel,3/1/2023,6/24/2024,$565.16,"11,885",84,"7,412","7,163",20,2.07%,$2.30,$6.7,706.77%,$28.26,168.28%,60.30%,37.70%,35.00%,29.80%,25.10%,34.10%,23.80%,,
Photoleap Android,text2img,Manuspeed,manuel,3/1/2023,6/24/2024,$104.79,"2,420",21,"1,419","1,374",3,1.86%,$2.33,$5.0,867.77%,$34.93,123.97%,56.80%,37.10%,34.00%,27.20%,23.00%,46.70%,14.30%,$5.09,4.86%
Photoleap Android,Uncrop,funny,manuel,3/1/2023,6/24/2024,$461.25,"89,105",241,"24,485","23,972",39,0.52%,$0.99,$1.9,270.47%,$11.83,43.77%,26.90%,23.40%,16.10%,13.00%,9.90%,51.70%,16.20%,$5.09,1.10%
Photoleap Android,thuglife,OldFolks,manuel,3/1/2023,6/24/2024,$83.26,"3,726",10,"1,822","1,791",1,0.81%,$2.78,$8.3,268.38%,$83.26,26.84%,48.10%,29.00%,19.10%,14.00%,8.80%,33.30%,10.00%,,
Photoleap Android,thuglife,Woman,manuel,3/1/2023,6/24/2024,$37.00,"1,531",5,454,445,,0.59%,$4.11,$7.4,326.58%,,,29.10%,24.50%,11.90%,7.70%,5.10%,55.60%,,,
